method,replicate,ESS,time_sec,ess_per_sec,ess_per_min
STAN-20k,1,2.567019,708189,.00000362476542278967,.00021748592536738020
STAN-20k,2,2.917066,708189,.00000411905014056981,.00024714300843418860
STAN-20k,3,56.72625,708189,.00008010043928951169,.00480602635737070140
STAN-20k,4,11.7851,708189,.00001664117912026309,.00099847074721578540
STAN-20k,5,3.733027,708189,.00000527122985530698,.00031627379131841880
STAN-20k,6,2.139313,708189,.00000302082212516715,.00018124932751002900
STAN-20k,7,1.780736,708189,.00000251449260013922,.00015086955600835320
STAN-20k,8,2.525133,708189,.00000356562019460906,.00021393721167654360
STAN-20k,9,0.0,708189,0,0
STAN-20k,10,5.929011,708189,.00000837207440386676,.00050232446423200560
GIBBS-3m,1,78.0,21600,.00361111111111111111,.21666666666666666660
GIBBS-3m,2,78.0,21600,.00361111111111111111,.21666666666666666660
GIBBS-3m,3,73.0,21600,.00337962962962962962,.20277777777777777720
GIBBS-3m,4,73.0,21600,.00337962962962962962,.20277777777777777720
GIBBS-3m,5,73.0,21600,.00337962962962962962,.20277777777777777720
GIBBS-3m,6,78.0,21600,.00361111111111111111,.21666666666666666660
GIBBS-3m,7,83.0,21600,.00384259259259259259,.23055555555555555540
GIBBS-3m,8,78.0,21600,.00361111111111111111,.21666666666666666660
GIBBS-3m,9,78.0,21600,.00361111111111111111,.21666666666666666660
GIBBS-3m,10,83.0,21600,.00384259259259259259,.23055555555555555540
DC-10k,1,5026.924548493985,488,10.30107489445488729508,618.06449366729323770480
DC-10k,2,5068.869250699408,448,11.31444029173975000000,678.86641750438500000000
DC-10k,3,5061.354114439992,477,10.61080527136266666666,636.64831628175999999960
DC-10k,4,5012.347512438557,478,10.48608266200534937238,629.16495972032096234280
DC-10k,5,4935.259550659452,481,10.26041486623586694386,615.62489197415201663160
DC-10k,6,5097.49293290044,474,10.75420449978995780590,645.25226998739746835400
DC-10k,7,5022.830330447068,476,10.55216455976274789915,633.12987358576487394900
DC-10k,8,5029.649342265613,489,10.28558147702579345603,617.13488862154760736180
DC-10k,9,5006.783866166568,461,10.86070252964548373101,651.64215177872902386060
DC-10k,10,5053.404797985123,472,10.70636609742610805084,642.38196584556648305040
STD-10k,1,5822.920453408942,588,9.90292594117167006802,594.17555647030020408120
STD-10k,2,4991.79398794778,577,8.65128940718852686308,519.07736443131161178480
STD-10k,3,5305.353959077656,589,9.00739212067513752122,540.44352724050825127320
STD-10k,4,5307.319407969435,574,9.24620105918020034843,554.77206355081202090580
STD-10k,5,5891.899850572459,583,10.10617470081039279588,606.37048204862356775280
STD-10k,6,5056.167446688828,568,8.90170325121272535211,534.10219507276352112660
STD-10k,7,5313.236499949888,547,9.71341224853727239488,582.80473491223634369280
STD-10k,8,4127.249088647524,586,7.04308718199236177474,422.58523091954170648440
STD-10k,9,4810.571161617492,577,8.33721171857450953206,500.23270311447057192360
STD-10k,10,5130.69946894616,588,8.72567936895605442176,523.54076213736326530560
