sampling_method,dc_n_particles,estimate
STD,100,-3876.59679846087
STD,10000,-3818.6433090858
STD,10,-4041.51872971462
DC,10000,-3812.29819176706
STD,1000,-3832.67279320637
DC,100,-3849.19634593152
STD,100,-3877.15997650617
STD,10000,-3819.94152912147
STD,10,-4060.12374194928
DC,10,-3950.96378302707
DC,100,-3844.90416950966
STD,100,-3890.01760407274
STD,1000,-3833.65148033644
DC,100,-3837.6958885447
STD,1000,-3831.23571454836
STD,10,-4030.51108991505
DC,10,-3986.48119320126
STD,10,-4019.59685029556
DC,1000,-3821.1890032186
DC,1000,-3823.20687080582
DC,10000,-3812.64040553337
STD,10000,-3817.16585594461
DC,10000,-3814.08971350436
STD,100,-3878.01148758386
STD,10,-3988.79656913178
STD,100,-3871.82087592674
DC,1000,-3822.37878260768
STD,1000,-3831.38176888493
DC,10000,-3815.20794742171
DC,10,-3982.85626955181
STD,10,-4039.54760352375
DC,100,-3838.51087884435
DC,100,-3852.87156451615
STD,1000,-3834.3283465354
DC,1000,-3818.78513529091
STD,1000,-3829.26680714259
STD,1000,-3829.75833137883
DC,10,-3932.34683444958
STD,10000,-3814.13947069611
STD,100,-3865.37627602399
DC,100,-3836.9047251643
DC,10000,-3809.28494927453
DC,100,-3849.41699769445
STD,10,-3999.99647733534
STD,10,-3978.1321178666
DC,10,-3983.26025828631
STD,10000,-3820.17998196591
DC,10000,-3815.96454201738
DC,10000,-3812.15709737261
STD,10000,-3818.17412749829
STD,10,-4000.00634754537
DC,1000,-3816.7590298991
STD,100,-3881.70818288095
STD,100,-3881.94206095615
STD,10000,-3819.66029316706
DC,1000,-3819.6712716409
DC,1000,-3826.13926604855
DC,1000,-3819.26325538527
STD,10000,-3815.48365861511
DC,1000,-3818.44993838178
DC,10,-3995.01175465198
STD,10,-4005.08126153687
DC,100,-3857.67077559168
DC,10,-3949.54343458455
DC,1000,-3823.24290479782
STD,10000,-3818.01776466637
DC,10000,-3815.92219682028
DC,100,-3848.33956557465
STD,1000,-3828.5963730868
DC,10000,-3814.49352279734
STD,10000,-3821.49628048097
DC,100,-3855.09960963618
DC,10000,-3814.3686754095
DC,10,-4004.96707322794
STD,100,-3866.07085322534
STD,1000,-3828.73609035513
DC,10,-3990.46347351462
DC,10,-3998.65093178083
STD,100,-3873.65917032041
STD,1000,-3834.33193758394
DC,1000000,-3811.36054385324
STD,100000,-3813.4456518959
STD,100000,-3816.19222995356
DC,100000,-3810.65864098396
DC,1000000,-3810.88534782404
DC,100000,-3811.05563640198
STD,1000000,-3814.11259416935
STD,100000,-3815.86750847591
DC,100000,-3812.57552871889
STD,100000,-3815.11301722169
STD,1000000,-3813.32373290107
DC,100000,-3811.46776154176
DC,1000000,-3811.59416970217
STD,100000,-3814.46256665599
DC,1000000,-3810.56490226294
STD,100000,-3814.38717002916
DC,100000,-3811.4103559613
STD,1000000,-3813.64122041405
DC,1000000,-3811.18395971218
DC,1000000,-3811.25783200701
DC,1000000,-3810.80469227341
STD,100000,-3816.07593813281
DC,100000,-3811.72553554543
DC,100000,-3812.56580021362
DC,100000,-3811.5818897355
DC,1000000,-3811.40732254044
STD,100000,-3815.25415457384
STD,100000,-3817.07031296485
DC,100000,-3812.37787416241
STD,1000000,-3811.83691008587
STD,100000,-3816.01976220776
DC,100000,-3812.43805725873
STD,1000000,-3814.06623406949
DC,1000000,-3811.29237782555
STD,1000000,-3814.83074236888
DC,10,-3995.01175465198
STD,100,-3879.3531594059
STD,1000,-3824.93446187156
DC,10000,-3813.42635402619
STD,10000,-3818.6408155487
STD,100000,-3816.23742423795
DC,10000,-3812.81208070019
STD,100,-3866.07085322534
STD,10000,-3820.82090089046
STD,10,-4066.00948909254
DC,1000,-3820.95183666067
STD,10000,-3814.72306248045
STD,100,-3865.48189980329
DC,10000,-3815.41968560771
STD,10000,-3822.17630595928
DC,100,-3850.90785574992
DC,1000,-3819.96596906445
STD,1000,-3821.57777372588
STD,10000,-3821.04193692753
STD,100000,-3811.43824088731
STD,10,-4043.48763036619
STD,1000,-3825.32003029857
STD,100,-3873.23198065748
STD,10,-4025.66829709502
STD,100,-3883.40582242952
DC,100,-3851.38040671365
STD,100000,-3815.01558611571
STD,10000,-3819.28753553862
STD,1000,-3831.89534241876
DC,1000,-3821.1890032186
DC,10,-3979.67019605098
DC,10,-3932.34683444958
DC,100,-3856.70034294194
STD,100000,-3815.14066044419
DC,10,-4001.75961504359
DC,1000,-3817.27509763461
DC,100,-3847.54476509204
STD,100,-3866.2797667314
DC,100000,-3811.685883581
STD,10,-4039.61925102793
DC,10,-3982.54968433644
DC,1000,-3823.3282947295
DC,100,-3844.23383119967
STD,10,-3987.90131965499
DC,10,-3973.52598783864
DC,1000,-3823.85869406037
DC,100000,-3811.17187887554
STD,10000,-3814.84530711316
STD,10,-4026.65753110997
STD,10000,-3821.08490682056
STD,10,-4021.14014456025
STD,1000,-3826.78658402759
STD,10,-4029.53353543393
STD,10000,-3818.60472065607
DC,10000,-3812.25079508275
DC,10000,-3815.09031154014
STD,10000,-3822.3318380896
STD,100,-3881.94206095615
STD,10000,-3822.27742215125
DC,1000,-3823.5294711335
DC,10000,-3813.51508382059
DC,1000,-3819.46294715184
STD,100,-3890.01760407274
STD,10000,-3819.09332154587
DC,100000,-3810.77444806199
STD,100000,-3813.55351460096
STD,10,-3988.79656913178
DC,100,-3848.4598637129
STD,100,-3864.24980464744
DC,1000,-3822.33573735532
STD,100,-3871.89151029633
DC,1000,-3822.03005047924
STD,100,-3886.22000307745
STD,10,-4027.77925772687
DC,100,-3843.2394785061
STD,100000,-3816.19222995356
DC,10000,-3815.14596809974
DC,1000,-3828.5940325444
DC,10000,-3812.76771471533
STD,10000,-3816.87017403995
STD,1000,-3827.80649810741
STD,10000,-3819.11668527136
DC,10000,-3815.34331074067
STD,100,-3867.53534719689
DC,100,-3862.74444983388
